State,STATE,County,FIPS,FE_AREA,LON,LAT
Maine,ME,Washington,23029,se,-67.6361,45.0363
Maine,ME,Androscoggin,23001,sw,-70.2045,44.1654
Maine,ME,Knox,23013,sc,-69.173,44.15
Maine,ME,Sagadahoc,23023,sc,-69.8613,43.9705
Maine,ME,Lincoln,23015,sc,-69.5431,44.0752
Maine,ME,Piscataquis,23021,nc,-69.2835,45.838
Maine,ME,Somerset,23025,wc,-69.9582,45.5138
Maine,ME,Aroostook,23003,nn,-68.5988,46.6588
Maine,ME,Oxford,23017,ww,-70.7555,44.499
Maine,ME,Penobscot,23019,ec,-68.6494,45.4006
Maine,ME,York,23031,sw,-70.7156,43.4796
Maine,ME,Cumberland,23005,sw,-70.4096,43.8487
Maine,ME,Franklin,23007,ww,-70.444,44.974
Maine,ME,Waldo,23027,sc,-69.1478,44.5037
Maine,ME,Hancock,23009,se,-68.3531,44.6749
Maine,ME,Kennebec,23011,sc,-69.7672,44.4093
Georgia,GA,McIntosh,13191,se,-81.2646,31.5329
Georgia,GA,Liberty,13179,se,-81.2103,31.7093
Georgia,GA,Wilkes,13317,ec,-82.7432,33.782
Georgia,GA,Wilcox,13315,cc,-83.4322,31.9734
Georgia,GA,Whitfield,13313,nw,-84.9673,34.8056
Georgia,GA,White,13311,ne,-83.7472,34.6464
Georgia,GA,Wheeler,13309,cc,-82.7246,32.1171
Georgia,GA,Webster,13307,wc,-84.551,32.0466
Georgia,GA,Wayne,13305,se,-81.9168,31.5515
Georgia,GA,Washington,13303,ec,-82.7959,32.9695
Georgia,GA,Warren,13301,ec,-82.6767,33.409
Georgia,GA,Ware,13299,se,-82.4238,31.0534
Georgia,GA,Walker,13295,nw,-85.3009,34.7356
Georgia,GA,Union,13291,nc,-83.9907,34.8342
Georgia,GA,Twiggs,13289,cc,-83.4272,32.6672
Georgia,GA,Turner,13287,sc,-83.6242,31.7164
Georgia,GA,Troup,13285,wc,-85.0283,33.0335
Georgia,GA,Treutlen,13283,ec,-82.5673,32.4039
Georgia,GA,Towns,13281,ne,-83.7373,34.9166
Georgia,GA,Toombs,13279,se,-82.3306,32.1206
Georgia,GA,Tift,13277,sc,-83.5266,31.4575
Georgia,GA,Thomas,13275,sc,-83.9194,30.8637
Georgia,GA,Terrell,13273,sw,-84.4368,31.7768
Georgia,GA,Telfair,13271,cc,-82.9389,31.9298
Georgia,GA,Tattnall,13267,se,-82.0582,32.0458
Georgia,GA,Taliaferro,13265,ec,-82.8787,33.5662
Georgia,GA,Talbot,13263,wc,-84.533,32.6995
Georgia,GA,Sumter,13261,wc,-84.1971,32.04
Georgia,GA,Stewart,13259,wc,-84.8351,32.0785
Georgia,GA,Stephens,13257,ne,-83.2935,34.554
Georgia,GA,Spalding,13255,wc,-84.2841,33.2609
Georgia,GA,Screven,13251,se,-81.6119,32.7507
Georgia,GA,Schley,13249,wc,-84.3149,32.262
Georgia,GA,Rockdale,13247,nc,-84.0267,33.6545
Georgia,GA,Richmond,13245,ec,-82.0735,33.3596
Georgia,GA,Randolph,13243,sw,-84.7542,31.7626
Georgia,GA,Rabun,13241,ne,-83.4021,34.8818
Georgia,GA,Putnam,13237,cc,-83.3728,33.3218
Georgia,GA,Pulaski,13235,cc,-83.4764,32.2328
Georgia,GA,Polk,13233,nw,-85.1881,34.0018
Georgia,GA,Pike,13231,wc,-84.3892,33.0922
Georgia,GA,Pierce,13229,se,-82.2134,31.3589
Georgia,GA,Pickens,13227,nc,-84.4656,34.4643
Georgia,GA,Peach,13225,cc,-83.8268,32.5688
Georgia,GA,Paulding,13223,nw,-84.8672,33.9202
Georgia,GA,Oglethorpe,13221,ne,-83.0806,33.8807
Georgia,GA,Oconee,13219,ne,-83.437,33.8349
Georgia,GA,Newton,13217,nc,-83.8503,33.5551
Georgia,GA,Muscogee,13215,wc,-84.877,32.51
Georgia,GA,Dodge,13091,cc,-83.1684,32.1722
Georgia,GA,Dooly,13093,cc,-83.7987,32.1572
Georgia,GA,Dougherty,13095,sw,-84.2164,31.5333
Georgia,GA,Douglas,13097,nc,-84.7677,33.7015
Georgia,GA,Early,13099,sw,-84.9037,31.3228
Georgia,GA,Echols,13101,se,-82.8939,30.7101
Georgia,GA,Elbert,13105,ne,-82.8403,34.117
Georgia,GA,Emanuel,13107,ec,-82.3018,32.5898
Georgia,GA,Fannin,13111,nc,-84.3197,34.8641
Georgia,GA,Fayette,13113,nc,-84.4941,33.414
Georgia,GA,Floyd,13115,nw,-85.2143,34.2632
Georgia,GA,Forsyth,13117,nc,-84.1253,34.2255
Georgia,GA,Franklin,13119,ne,-83.2292,34.3755
Georgia,GA,Gilmer,13123,nc,-84.4554,34.6915
Georgia,GA,Glascock,13125,ec,-82.6107,33.2293
Georgia,GA,Gordon,13129,nw,-84.8757,34.5034
Georgia,GA,Grady,13131,sw,-84.2344,30.8747
Georgia,GA,Greene,13133,ec,-83.1667,33.5788
Georgia,GA,Gwinnett,13135,nc,-84.0235,33.9617
Georgia,GA,Habersham,13137,ne,-83.5312,34.631
Georgia,GA,Hall,13139,nc,-83.8197,34.3168
Georgia,GA,Hancock,13141,ec,-83.001,33.2703
Georgia,GA,Haralson,13143,nw,-85.211,33.7943
Georgia,GA,Harris,13145,wc,-84.909,32.736
Georgia,GA,Hart,13147,ne,-82.964,34.3511
Georgia,GA,Heard,13149,wc,-85.1283,33.297
Georgia,GA,Henry,13151,nc,-84.1554,33.4534
Georgia,GA,Houston,13153,cc,-83.6662,32.459
Georgia,GA,Irwin,13155,sc,-83.2764,31.6023
Georgia,GA,Jackson,13157,ne,-83.5663,34.1339
Georgia,GA,Clayton,13063,nc,-84.3577,33.5419
Georgia,GA,Jefferson,13163,ec,-82.4181,33.0549
Georgia,GA,Murray,13213,nw,-84.7481,34.7885
Georgia,GA,Morgan,13211,nc,-83.4924,33.5908
Georgia,GA,Montgomery,13209,cc,-82.5338,32.1746
Georgia,GA,Monroe,13207,cc,-83.9187,33.0141
Georgia,GA,Mitchell,13205,sw,-84.1942,31.2254
